Sample,PC1,PC2,Env,Growth
CF1A.114,5.20E-06,-0.00041157,Swine_Fecal,Lactating
CF1A.124,-0.000240308,-0.000579194,Swine_Fecal,Lactating
CF1A.1314,-5.45E-05,-0.000163507,Swine_Fecal,Finishing
CF1A.1324,-0.00020172,-6.31E-05,Swine_Fecal,Finishing
CF1A.1334,-0.000151838,-5.93E-05,Swine_Fecal,Finishing
CF1A.134,7.32E-05,-0.000279115,Swine_Fecal,Lactating
CF1A.314,-0.001306492,-0.001089122,Swine_Fecal,Lactating
CF1A.324,-0.000342601,-0.0004895,Swine_Fecal,Lactating
CF1A.3314,0.000183056,-0.000112744,Swine_Fecal,Finishing
CF1A.3324,0.000185046,-0.000166526,Swine_Fecal,Finishing
CF1A.3334,0.000186791,-0.000167632,Swine_Fecal,Finishing
CF1A.334,-0.00030159,-0.000303313,Swine_Fecal,Lactating
CF1E.111,-0.000187314,0.000308479,Wastewater,Environment
CF1E.112B,-0.000465941,-0.000268883,Floor,Environment
CF1E.112P,-0.000495775,-0.000204914,Floor,Environment
CF1E.311,-0.001522558,3.77E-05,Wastewater,Environment
CF1E.312B,-0.001280295,-0.000211353,Floor,Environment
CF1E.312P,-0.001960158,-0.000492293,Floor,Environment
CF1H.114,0.000413995,0.000166132,Huan_Fecal,Human
CF1H.124,0.00040552,0.00017605,Huan_Fecal,Human
CF1H.134,0.000320698,-2.09E-05,Huan_Fecal,Human
CF1H.314,0.000337068,5.87E-05,Huan_Fecal,Human
CF1H.324,0.000506286,0.000236868,Huan_Fecal,Human
CF1H.334,0.000445566,0.000235993,Huan_Fecal,Human
CF1H.344,0.00049659,0.000269857,Huan_Fecal,Human
JF1A.114,0.000260611,-0.000128504,Swine_Fecal,Lactating
JF1A.124,0.00024191,-4.56E-05,Swine_Fecal,Lactating
JF1A.1314,0.000233354,-0.000128602,Swine_Fecal,Finishing
JF1A.1324,0.00026037,-7.72E-05,Swine_Fecal,Finishing
JF1A.1334,0.000248421,-7.01E-05,Swine_Fecal,Finishing
JF1A.134,0.00024832,-5.99E-05,Swine_Fecal,Lactating
JF1A.314,0.000265163,-7.70E-05,Swine_Fecal,Lactating
JF1A.324,0.000269869,-8.94E-05,Swine_Fecal,Lactating
JF1A.3314,0.000260937,-6.31E-05,Swine_Fecal,Finishing
JF1A.3324,0.000303647,-8.10E-06,Swine_Fecal,Finishing
JF1A.3334,0.000353146,6.89E-05,Swine_Fecal,Finishing
JF1A.334,-0.000911614,-0.000309331,Swine_Fecal,Lactating
JF1A.414,5.51E-06,-0.000392764,Swine_Fecal,Lactating
JF1A.424,5.72E-05,-0.000354933,Swine_Fecal,Lactating
JF1A.4314,-3.97E-05,-0.000114145,Swine_Fecal,Finishing
JF1A.4324,-1.36E-05,-0.000263901,Swine_Fecal,Finishing
JF1A.4334,9.59E-05,-9.16E-05,Swine_Fecal,Finishing
JF1A.434,0.000142386,-0.000229635,Swine_Fecal,Lactating
JF1E.111,-0.00051297,0.000668364,Wastewater,Environment
JF1E.112B,0.00025421,1.73E-05,Floor,Environment
JF1E.112P,7.44E-05,-3.69E-05,Floor,Environment
JF1E.311,0.000206801,0.00061177,Wastewater,Environment
JF1E.312B,0.000303992,1.98E-05,Floor,Environment
JF1E.312P,-0.000139827,-0.000215585,Floor,Environment
JF1E.412B,-0.002657916,0.001373932,Floor,Environment
JF1E.412P,-0.000294082,-0.000310794,Floor,Environment
JF1H.114,0.000323487,0.000140027,Huan_Fecal,Human
JF1H.124,0.000374732,0.000114696,Huan_Fecal,Human
JF1H.134,0.00047183,0.000242675,Huan_Fecal,Human
JF1H.314,0.000476864,0.000286852,Huan_Fecal,Human
JF1H.324,0.000414046,0.000175472,Huan_Fecal,Human
JF1H.334,0.000486568,0.000398721,Huan_Fecal,Human
JF1H.344,0.000495867,0.000271631,Huan_Fecal,Human
JF1H.354,0.000493261,0.000275165,Huan_Fecal,Human
JF1H.424,0.000483258,0.000282673,Huan_Fecal,Human
JF1H.444,0.000421768,0.00013661,Huan_Fecal,Human
JF1H.454,0.000414344,0.000130362,Huan_Fecal,Human
KF1A.114,0.000222471,-0.000123816,Swine_Fecal,Lactating
KF1A.124,0.000206257,-0.000178659,Swine_Fecal,Lactating
KF1A.1314,0.000257658,-6.19E-05,Swine_Fecal,Finishing
KF1A.1324,0.000274109,2.77E-05,Swine_Fecal,Finishing
KF1A.1334,0.000234068,-9.51E-05,Swine_Fecal,Finishing
KF1A.134,0.000201977,-0.000169394,Swine_Fecal,Lactating
KF1E.111,-0.000599487,0.000541732,Wastewater,Environment
KF1E.112B,0.000118744,-4.74E-05,Floor,Environment
KF1E.112P,-0.001741273,0.000597377,Floor,Environment
KF1H.114,0.000458784,0.000281282,Huan_Fecal,Human
KF1H.144,0.000485272,0.000328824,Huan_Fecal,Human
KF1H.154,0.000460938,0.000344919,Huan_Fecal,Human
