Sample,V1,V2
2021_CF1H_112,0.262538101,0.632256158
2021_CF1H_114,-0.231614834,0.161867362
2021_CF1H_124,-0.237457295,0.155374331
2021_CF1H_132,0.133182773,0.12440945
2021_CF1H_134,-0.375245515,0.063579501
2021_CF1H_314,-0.253535368,0.131222355
2021_CF1H_324,-0.249803311,0.123062964
2021_CF1H_334,-0.372640157,0.042002369
2021_CF2A_112,0.339468379,-0.285127755
2021_CF2A_114,-0.046875235,-0.114804021
2021_CF2A_122,0.330996892,-0.275248592
2021_CF2A_124,-0.356596736,-0.058374842
2021_CF2A_1312,0.375709847,-0.178825572
2021_CF2A_1314,-0.385479736,-0.084269231
2021_CF2A_1322,0.324837108,-0.217794674
2021_CF2A_1324,-0.389270197,-0.078983131
2021_CF2A_1332,0.186870989,-0.199669986
2021_CF2A_1334,-0.36484092,-0.104154739
2021_CF2A_134,-0.354467235,-0.116785579
2021_CF2A_312,0.434519604,-0.076834868
2021_CF2A_314,-0.32566958,-0.119923185
2021_CF2A_322,0.450734047,0.077869927
2021_CF2A_324,-0.321144109,-0.121912715
2021_CF2A_3312,0.146873726,-6.90E-05
2021_CF2A_3314,-0.379781069,-0.102444578
2021_CF2A_332,0.436025483,-0.125043662
2021_CF2A_3324,-0.348015348,-0.092933249
2021_CF2A_3332,0.085373736,-0.022404704
2021_CF2A_3334,-0.408762181,-0.071024839
2021_CF2A_334,-0.325182568,-0.120245781
2021_CF2E_111,0.122655013,-0.253570464
2021_CF2E_112B,0.419777212,-0.204620159
2021_CF2E_112P,0.394486591,-0.177073168
2021_CF2E_311,0.134531734,-0.040875072
2021_CF2E_312B,0.236105036,-0.212627829
2021_CF2E_312P,0.250219646,-0.255377943
2021_CF2H_112,0.271773679,0.629107843
2021_CF2H_132,0.271416739,0.622227785
2021_CF2H_314,-0.357772248,0.02974636
2021_CF2H_324,-0.366625023,0.013609958
2021_JF1H_414,-0.055287569,0.274509575
2021_JF1H_424,-0.252617833,0.088054791
2021_JF2A_112,0.37369267,-0.246920888
2021_JF2A_114,-0.352407475,-0.098353513
2021_JF2A_122,0.416525867,-0.243933951
2021_JF2A_124,-0.308054272,-0.082649453
2021_JF2A_1312,0.445326662,-0.216044906
2021_JF2A_1314,-0.355158511,-0.112382687
2021_JF2A_132,0.382162231,-0.233337905
2021_JF2A_1322,0.448068117,-0.2289843
2021_JF2A_1324,-0.353660519,-0.10627316
2021_JF2A_1332,0.45110916,-0.216589621
2021_JF2A_1334,-0.349382384,-0.12444309
2021_JF2A_134,-0.292434333,-0.147817653
2021_JF2E_111,0.123234893,0.051275924
2021_JF2E_112B,0.217892408,-0.267229173
2021_JF2E_112P,0.313908946,-0.219817079
2021_JF2H_114,-0.403787506,0.029810916
2021_JF2H_122,0.151094623,0.153523456
2021_JF2H_124,-0.391004358,0.022016024
2021_JF2H_412,0.262523232,0.637528483
2021_JF2H_414,-0.377882687,0.020764485
2021_JF2H_422,0.260104928,0.635073391
2021_JF2H_424,-0.384697398,0.018706415
2021_KF1H_112,0.262860415,0.636902241
2021_KF1H_114,-0.339535895,0.080818841
2021_KF1H_122,0.19375741,0.087888839
2021_KF1H_124,-0.27820983,0.141202758
2021_KF1H_212,0.199052073,0.086044213
2021_KF1H_213,-0.07459058,0.313687968
2021_KF1H_224,-0.166105483,0.206607151
2021_KF1H_234,-0.05549309,0.331547534
2021_KF2A_212,0.367695988,-0.239800797
2021_KF2A_214,-0.372093405,-0.104886936
2021_KF2A_222,0.387241579,-0.254265706
2021_KF2A_224,-0.389559085,-0.096425413
2021_KF2A_2312,0.384172218,-0.128505252
2021_KF2A_2314,-0.357826795,-0.099122332
2021_KF2A_2322,0.377618733,-0.069902713
2021_KF2A_2324,-0.353334876,-0.10554624
2021_KF2A_2332,0.388304771,-0.111491213
2021_KF2A_2334,-0.357835176,-0.114764372
2021_KF2A_234,-0.350101627,-0.112832507
2021_KF2A_242,0.395991865,-0.230444815
2021_KF2E_211,0.154174648,-0.143405103
2021_KF2E_212B,0.189529491,-0.288879764
2021_KF2E_212P,0.313794023,-0.26338545
2021_KF2H_112,0.306556655,0.567657815
2021_KF2H_212,0.287535436,0.616493245
2021_KF2H_213,-0.185494032,0.117004194
2021_KF2H_222,0.293874892,0.596747805
2021_KF2H_224,-0.348566887,0.099252916
