Sample,PC1,PC2
2021_CF1H_112,-0.256353013,0.582629628
2021_CF1H_114,0.135622572,0.151199317
2021_CF1H_124,0.143750656,0.150122797
2021_CF1H_132,-0.12186673,0.092600488
2021_CF1H_134,0.294669393,0.076861562
2021_CF1H_314,0.156949349,0.13648751
2021_CF1H_324,0.155953927,0.13109525
2021_CF1H_334,0.294823023,0.053890218
2021_CF2A_112,-0.312135118,-0.263679331
2021_CF2A_114,0.045081649,-0.106896466
2021_CF2A_122,-0.304125865,-0.253543069
2021_CF2A_124,0.32962674,-0.035121958
2021_CF2A_1312,-0.341926233,-0.197651195
2021_CF2A_1314,0.396934365,-0.064511249
2021_CF2A_1322,-0.30261568,-0.220372254
2021_CF2A_1324,0.395639194,-0.059708364
2021_CF2A_1332,-0.182667441,-0.175565033
2021_CF2A_1334,0.380312319,-0.082739276
2021_CF2A_134,0.370960733,-0.094090697
2021_CF2A_312,-0.391149967,-0.131101461
2021_CF2A_314,0.346177632,-0.102259263
2021_CF2A_322,-0.383975708,0.011347801
2021_CF2A_324,0.34162275,-0.103696148
2021_CF2A_3312,-0.148373518,-0.021595304
2021_CF2A_3314,0.410936205,-0.085991657
2021_CF2A_332,-0.372927198,-0.149595645
2021_CF2A_3324,0.374122959,-0.082301705
2021_CF2A_3332,-0.096884023,-0.036969271
2021_CF2A_3334,0.417936613,-0.053587083
2021_CF2A_334,0.346895932,-0.102606561
2021_CF2E_111,-0.125447509,-0.215027092
2021_CF2E_112B,-0.346193384,-0.182453633
2021_CF2E_112P,-0.319382223,-0.151856868
2021_CF2E_311,-0.128783205,-0.018146978
2021_CF2E_312B,-0.232336412,-0.197355915
2021_CF2E_312P,-0.246573107,-0.238601286
2021_CF2H_112,-0.266354561,0.604874813
2021_CF2H_132,-0.26684797,0.601061387
2021_CF2H_314,0.302509412,0.057308225
2021_CF2H_324,0.311787775,0.045405326
2021_JF1H_414,-0.001514707,0.201270291
2021_JF1H_424,0.165971439,0.09889123
2021_JF2A_112,-0.345443588,-0.24685596
2021_JF2A_114,0.375803175,-0.082166289
2021_JF2A_122,-0.388580123,-0.257815633
2021_JF2A_124,0.330676894,-0.078928224
2021_JF2A_1312,-0.381178707,-0.207477938
2021_JF2A_1314,0.376994741,-0.090854804
2021_JF2A_132,-0.34416992,-0.226054071
2021_JF2A_1322,-0.389079552,-0.223327505
2021_JF2A_1324,0.363149102,-0.08078091
2021_JF2A_1332,-0.384283752,-0.207642274
2021_JF2A_1334,0.374470256,-0.101172227
2021_JF2A_134,0.308176699,-0.116412827
2021_JF2E_111,-0.119757673,0.04775734
2021_JF2E_112B,-0.212509673,-0.23589708
2021_JF2E_112P,-0.280570309,-0.196934823
2021_JF2H_114,0.338569872,0.052996983
2021_JF2H_122,-0.138851063,0.105036166
2021_JF2H_124,0.340982237,0.051522261
2021_JF2H_412,-0.259700997,0.603320854
2021_JF2H_414,0.325719668,0.051095577
2021_JF2H_422,-0.255422831,0.591474321
2021_JF2H_424,0.336258391,0.050088186
2021_KF1H_112,-0.259757564,0.605612976
2021_KF1H_114,0.245902556,0.095440314
2021_KF1H_122,-0.153699021,0.068359504
2021_KF1H_124,0.194793494,0.131992361
2021_KF1H_212,-0.15645143,0.067161401
2021_KF1H_213,0.014647297,0.235160212
2021_KF1H_224,0.089656466,0.165657426
2021_KF1H_234,-0.001125989,0.24699808
2021_KF2A_212,-0.342933497,-0.241543691
2021_KF2A_214,0.390960925,-0.087227332
2021_KF2A_222,-0.362223814,-0.257967397
2021_KF2A_224,0.411667441,-0.080273229
2021_KF2A_2312,-0.356401033,-0.167945023
2021_KF2A_2314,0.370542949,-0.081190922
2021_KF2A_2322,-0.348929671,-0.122204088
2021_KF2A_2324,0.367667005,-0.086397899
2021_KF2A_2332,-0.363791671,-0.161448416
2021_KF2A_2334,0.385490545,-0.095934889
2021_KF2A_234,0.360664153,-0.09058157
2021_KF2A_242,-0.362227329,-0.23571409
2021_KF2E_211,-0.147267657,-0.107695244
2021_KF2E_212B,-0.182566394,-0.253440738
2021_KF2E_212P,-0.284571541,-0.230817857
2021_KF2H_112,-0.284982479,0.551832192
2021_KF2H_212,-0.275288932,0.592727855
2021_KF2H_213,0.115045811,0.09339262
2021_KF2H_222,-0.277272858,0.57943306
2021_KF2H_224,0.271348327,0.097622175
